filename,style,age,race
female_photo_06_working_age_72_r8c9.png,,Adult,White
female_photo_07_elderly_01_r1c1.png,,YoungAdult,White
female_photo_07_elderly_02_r1c2.png,,YoungAdult,White
female_photo_07_elderly_03_r1c3.png,,YoungAdult,SouthAsian
female_photo_07_elderly_04_r2c1.png,,MiddleAge,White
female_photo_07_elderly_05_r2c2.png,,MiddleAge,White
female_photo_07_elderly_06_r2c3.png,,YoungAdult,MiddleEastern
female_photo_07_elderly_07_r3c1.png,,YoungAdult,White
female_photo_07_elderly_08_r3c2.png,,YoungAdult,White
female_photo_07_elderly_09_r3c3.png,,Adult,White
female_photo_07_elderly_10_r4c1.png,,YoungAdult,White
female_photo_07_elderly_11_r4c2.png,,Adult,Hispanic
female_photo_07_elderly_12_r4c3.png,,YoungAdult,MiddleEastern
female_photo_07_elderly_13_r5c1.png,,MiddleAge,White
female_photo_07_elderly_14_r5c2.png,,YoungAdult,White
female_photo_07_elderly_15_r5c3.png,,YoungAdult,White
female_photo_07_elderly_16_r6c1.png,,YoungAdult,White
female_photo_07_elderly_17_r6c2.png,,YoungAdult,Asian
female_photo_07_elderly_18_r6c3.png,,YoungAdult,White
female_photo_07_elderly_19_r7c1.png,,YoungAdult,White
female_photo_07_elderly_20_r7c2.png,,YoungAdult,Asian
female_photo_07_elderly_21_r7c3.png,,YoungAdult,White
female_photo_07_elderly_22_r8c1.png,,YoungAdult,White
female_photo_07_elderly_23_r8c2.png,,Adult,Asian
female_photo_07_elderly_24_r8c3.png,,YoungAdult,White
male_photo_01_baby_toddler_01_r1c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_02_r1c2.png,,YoungAdult,White
male_photo_01_baby_toddler_03_r2c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_04_r2c2.png,,YoungAdult,Asian
male_photo_01_baby_toddler_05_r3c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_06_r3c2.png,,Teen,Asian
male_photo_01_baby_toddler_07_r4c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_08_r4c2.png,,Adult,Asian
male_photo_01_baby_toddler_09_r5c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_10_r5c2.png,,Adult,Asian
male_photo_01_baby_toddler_11_r6c1.png,,Teen,Asian
male_photo_01_baby_toddler_12_r6c2.png,,YoungAdult,Asian
male_photo_01_baby_toddler_13_r7c1.png,,Adult,Asian
male_photo_01_baby_toddler_14_r7c2.png,,YoungAdult,Asian
male_photo_01_baby_toddler_15_r8c1.png,,YoungAdult,Asian
male_photo_01_baby_toddler_16_r8c2.png,,Teen,Asian
male_photo_01_baby_toddler_17_r9c1.png,,Adult,Asian
male_photo_01_baby_toddler_18_r9c2.png,,YoungAdult,Asian
male_photo_02_elementary_01_r1c1.png,,YoungAdult,White
male_photo_02_elementary_02_r1c2.png,,Adult,Asian
male_photo_02_elementary_03_r2c1.png,,Teen,Asian
male_photo_02_elementary_04_r2c2.png,,YoungAdult,Asian
male_photo_02_elementary_05_r3c1.png,,YoungAdult,Asian
male_photo_02_elementary_06_r3c2.png,,YoungAdult,Asian
male_photo_02_elementary_07_r4c1.png,,YoungAdult,Asian
male_photo_02_elementary_08_r4c2.png,,YoungAdult,Asian
male_photo_02_elementary_09_r5c1.png,,YoungAdult,Asian
male_photo_02_elementary_10_r5c2.png,,YoungAdult,Asian
male_photo_02_elementary_11_r6c1.png,,YoungAdult,Asian
male_photo_02_elementary_12_r6c2.png,,Teen,Asian
male_photo_02_elementary_13_r7c1.png,,Teen,Asian
male_photo_02_elementary_14_r7c2.png,,YoungAdult,Asian
male_photo_02_elementary_15_r8c1.png,,Teen,Asian
male_photo_02_elementary_16_r8c2.png,,Teen,Asian
male_photo_02_elementary_17_r9c1.png,,Teen,Asian
male_photo_02_elementary_18_r9c2.png,,YoungAdult,Asian
male_photo_03_middle_school_01_r1c1.png,,Adult,White
male_photo_03_middle_school_02_r1c2.png,,Adult,White
male_photo_03_middle_school_03_r2c1.png,,Adult,White
male_photo_03_middle_school_04_r2c2.png,,Adult,White
male_photo_03_middle_school_05_r3c1.png,,Adult,Asian
male_photo_03_middle_school_06_r3c2.png,,Adult,Asian
male_photo_03_middle_school_07_r4c1.png,,Adult,White
male_photo_03_middle_school_08_r4c2.png,,Adult,White
male_photo_03_middle_school_09_r5c1.png,,Adult,White
male_photo_03_middle_school_10_r5c2.png,,YoungAdult,White
male_photo_03_middle_school_11_r6c1.png,,Adult,White
male_photo_03_middle_school_12_r6c2.png,,Adult,White
male_photo_03_middle_school_13_r7c1.png,,YoungAdult,Asian
male_photo_03_middle_school_14_r7c2.png,,Adult,White
male_photo_03_middle_school_15_r8c1.png,,Adult,White
male_photo_03_middle_school_16_r8c2.png,,Adult,White
male_photo_03_middle_school_17_r9c1.png,,Adult,White
male_photo_03_middle_school_18_r9c2.png,,Adult,White
male_photo_04_high_school_01_r1c1.png,,Adult,White
male_photo_04_high_school_02_r1c2.png,,Adult,White
male_photo_04_high_school_03_r2c1.png,,Adult,White
male_photo_04_high_school_04_r2c2.png,,MiddleAge,White
male_photo_04_high_school_05_r3c1.png,,Adult,White
male_photo_04_high_school_06_r3c2.png,,MiddleAge,White
male_photo_04_high_school_07_r4c1.png,,Adult,White
male_photo_04_high_school_08_r4c2.png,,Adult,White
male_photo_04_high_school_09_r5c1.png,,Adult,White
male_photo_04_high_school_10_r5c2.png,,Adult,Asian
male_photo_04_high_school_11_r6c1.png,,Adult,White
male_photo_04_high_school_12_r6c2.png,,Adult,White
male_photo_04_high_school_13_r7c1.png,,YoungAdult,Asian
male_photo_04_high_school_14_r7c2.png,,Adult,White
male_photo_04_high_school_15_r8c1.png,,Adult,White
male_photo_04_high_school_16_r8c2.png,,Adult,White
male_photo_04_high_school_17_r9c1.png,,Adult,White
male_photo_04_high_school_18_r9c2.png,,Adult,White
male_photo_05_college_01_r1c1.png,,Adult,White
male_photo_05_college_02_r1c2.png,,Adult,White
male_photo_05_college_03_r2c1.png,,Adult,White
male_photo_05_college_04_r2c2.png,,Adult,White
male_photo_05_college_05_r3c1.png,,YoungAdult,White
male_photo_05_college_06_r3c2.png,,YoungAdult,White
male_photo_05_college_07_r4c1.png,,Adult,White
male_photo_05_college_08_r4c2.png,,Adult,White
male_photo_05_college_09_r5c1.png,,Adult,White
male_photo_05_college_10_r5c2.png,,YoungAdult,White
male_photo_05_college_11_r6c1.png,,YoungAdult,Asian
male_photo_05_college_12_r6c2.png,,YoungAdult,White
male_photo_05_college_13_r7c1.png,,Adult,White
male_photo_05_college_14_r7c2.png,,YoungAdult,Asian
male_photo_05_college_15_r8c1.png,,Adult,White
male_photo_05_college_16_r8c2.png,,Adult,White
male_photo_05_college_17_r9c1.png,,YoungAdult,White
male_photo_05_college_18_r9c2.png,,YoungAdult,Asian
male_photo_06_working_age_01_r1c1.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_02_r1c2.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_03_r1c3.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_04_r1c4.png,,YoungAdult,White
male_photo_06_working_age_05_r1c5.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_06_r1c6.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_07_r1c7.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_08_r1c8.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_09_r1c9.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_10_r2c1.png,,YoungAdult,Asian
male_photo_06_working_age_11_r2c2.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_12_r2c3.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_13_r2c4.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_14_r2c5.png,,YoungAdult,Hispanic
male_photo_06_working_age_15_r2c6.png,,YoungAdult,White
male_photo_06_working_age_16_r2c7.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_17_r2c8.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_18_r2c9.png,,YoungAdult,White
male_photo_06_working_age_19_r3c1.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_20_r3c2.png,,YoungAdult,MiddleEastern
male_photo_06_working_age_21_r3c3.png,,YoungAdult,White
male_photo_06_working_age_22_r3c4.png,,YoungAdult,MiddleEastern
